request,category,action,confidence,capabilities
"check alerts for staging",monitoring,check_health,0.85,"system_monitoring|service_management"
"update apache configuration",configuration,change_settings,0.93,"system_info|service_management"
"change port to 100",configuration,configure_service,0.96,"service_management|system_info"
"describe load balancer",information,show_examples,0.82,"system_info|infrastructure_info"
"get asset db-prod-01",asset_management,asset_count,0.89,"asset_management|asset_query|network_info"
"describe database cluster",information,math,0.75,"system_info|infrastructure_info"
"configure apache on server1",configuration,set_permissions,0.89,"system_info|disk_management|service_management"
"update security settings for postgresql",configuration,update_environment,0.86,"system_info|service_management"
"investigate permission denied in service",troubleshooting,diagnose_issue,0.84,"system_monitoring|log_analysis|process_monitoring|network_testing"
"run deploy.py on server1",automation,run_script,0.83,"system_info|process_management"
"show process list",information,show_documentation,0.97,"system_info"
"restart redis service",automation,stop_service,0.94,"service_management|system_monitoring|process_management"
"explain firewall rules",information,provide_information,0.95,"system_info|infrastructure_info|resource_listing"
"diagnose nginx issue",troubleshooting,fix_problem,0.83,"service_management|system_info|process_management|system_monitoring"
"backup /var/www to /backup",automation,restore_data,0.81,"disk_management|system_info"
"count active servers",asset_management,list_credentials,0.86,"credential_access|secret_retrieval|asset_management"
"update production settings",configuration,update_config,0.9,"system_info|service_management"
"change timeout to 512MB",configuration,change_settings,0.97,"system_info|service_management"
"configure ssh on web-01",configuration,update_security,0.86,"system_info|service_management|disk_management"
"show dashboard for ssh",monitoring,view_logs,0.91,"log_analysis|system_info"
"configure ssh on db-server",configuration,update_security,0.78,"system_info|service_management"
"emergency shutdown of apache",automation,deploy_application,0.8,"service_management|disk_management|system_monitoring"
"change memory_limit to 8080",configuration,modify_parameters,0.95,"system_info|service_management"
"get CPU metrics for 192.168.1.100",monitoring,view_logs,0.9,"log_analysis|system_info|process_monitoring"
"diagnose ssh issue",troubleshooting,diagnose_issue,0.9,"system_monitoring|log_analysis|process_monitoring"
"execute systemctl status",automation,deploy_application,0.83,"service_management|disk_management|system_monitoring"
"check health of service",monitoring,get_metrics,0.79,"system_monitoring|memory_monitoring|disk_monitoring|log_analysis"
"read /var/log/nginx/access.log",information,answer_question,0.82,"system_info"
"check status of redis",monitoring,get_metrics,0.78,"system_monitoring|memory_monitoring|disk_monitoring"
"check alerts for development",monitoring,view_dashboard,0.96,"system_monitoring|api_query"
"find asset by IP address",asset_management,get_asset,0.96,"asset_management|asset_query"
"debug web app performance",troubleshooting,diagnose_issue,0.92,"system_monitoring|log_analysis|process_monitoring"
"execute systemctl status",automation,start_service,0.77,"service_management|system_monitoring"
"what is the status of application",information,show_documentation,0.76,"system_info"
"how do I check logs",information,calculate,0.84,"system_info"
"search for web-server",asset_management,asset_count,0.98,"asset_management|asset_query"
"diagnose performance issues on 192.168.1.100",troubleshooting,fix_problem,0.95,"service_management|system_info|process_management"
"diagnose ssh issue",troubleshooting,analyze_logs,0.87,"log_analysis|text_search"
"check status of ssh",monitoring,check_alerts,0.85,"system_monitoring|log_analysis|memory_monitoring"
"diagnose docker issue",troubleshooting,debug_application,0.88,"process_monitoring|log_analysis|system_monitoring"
"stop ssh",automation,restore_data,0.85,"disk_management|system_info"
"configure ssh on prod-web-01",configuration,update_environment,0.83,"system_info|service_management"
"get configuration",information,show_documentation,0.94,"system_info|resource_listing"
"explain load balancing",information,explain_concept,0.75,"system_info|infrastructure_info"
"get asset db-prod-01",asset_management,query_assets,0.84,"asset_management|asset_query|network_info"
"restart mysql service",automation,restore_data,0.9,"disk_management|system_info"
"count active servers",asset_management,find_asset,0.93,"asset_management|asset_query|resource_listing"
"analyze logs for out of memory",troubleshooting,diagnose_issue,0.8,"system_monitoring|log_analysis|process_monitoring"
"show documentation for nginx",information,compute,0.95,"system_info"
"list available databases",information,get_status_info,0.97,"system_info|system_monitoring|resource_listing"
"debug web app performance",troubleshooting,check_connectivity,0.85,"network_testing|network_monitoring|log_analysis"
"get CPU metrics for 192.168.1.100",monitoring,monitor_performance,0.95,"system_monitoring|memory_monitoring|process_monitoring"
"update security settings for mysql",configuration,change_settings,0.83,"system_info|service_management"
"monitor performance of web-01",monitoring,check_alerts,0.94,"system_monitoring|log_analysis"
"start redis on db-server",automation,stop_service,0.82,"service_management|system_monitoring"
"get asset web-staging-02",asset_management,query_assets,0.91,"asset_management|asset_query"
"query assets in AWS us-east-1",asset_management,get_credentials,0.88,"credential_access|secret_retrieval"
"show examples of ssh keys",information,list_resources,0.81,"resource_listing|system_info"
"check alerts for development",monitoring,view_dashboard,0.82,"system_monitoring|api_query"
"get CPU metrics for 192.168.1.100",monitoring,get_metrics,0.94,"system_monitoring|memory_monitoring|disk_monitoring"
"restart nginx service",automation,backup_data,0.81,"disk_management|system_info"
"deploy webapp to development",automation,restart_service,0.94,"service_management|system_monitoring"
"analyze logs for 404 error",troubleshooting,diagnose_issue,0.87,"system_monitoring|log_analysis|process_monitoring"
"analyze logs for connection timeout",troubleshooting,check_connectivity,0.92,"network_testing|network_monitoring"
"modify max_connections in docker",configuration,update_environment,0.91,"system_info|service_management"
"monitor performance of web-01",monitoring,get_metrics,0.78,"system_monitoring|memory_monitoring|disk_monitoring"
"deploy webapp to production",automation,backup_data,0.88,"disk_management|system_info"
"restart ssh service",automation,run_script,0.91,"system_info|process_management"
"diagnose performance issues on db-server",troubleshooting,debug_application,0.92,"process_monitoring|log_analysis|system_monitoring"
"execute systemctl status",automation,start_service,0.76,"service_management|system_monitoring|system_info"
"stop redis",automation,execute_command,0.95,"system_info|process_management"
"debug database performance",troubleshooting,debug_application,0.81,"process_monitoring|log_analysis|system_monitoring"
"check health of database",monitoring,check_alerts,0.79,"system_monitoring|log_analysis"
"emergency shutdown of docker",automation,start_service,0.91,"service_management|system_monitoring"
"change timeout to 512MB",configuration,modify_parameters,0.92,"system_info|service_management"
"set permissions for /home/user",configuration,update_config,0.97,"system_info|service_management"
"list available credentials",asset_management,asset_count,0.84,"asset_management|asset_query"
"update security settings for redis",configuration,update_environment,0.86,"system_info|service_management"
"analyze logs for 404 error",troubleshooting,investigate_error,0.86,"log_analysis|system_monitoring|network_testing"
"discover assets in production network",asset_management,asset_discovery,0.97,"asset_management|network_info"
"list hosts in staging",asset_management,get_asset_info,0.92,"asset_management|asset_query"
"explain load balancing",information,math,0.86,"system_info|infrastructure_info"
"emergency shutdown of docker",automation,run_script,0.85,"system_info|process_management"
"check health of API",monitoring,monitor_performance,0.92,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"restart mysql service",automation,restore_data,0.94,"disk_management|system_info"
"stop ssh",automation,run_script,0.85,"system_info|process_management|disk_management"
"start redis on 192.168.1.100",automation,execute_command,0.92,"system_info|process_management"
"get asset db-prod-01",asset_management,list_hosts,0.82,"asset_management|resource_listing"
"start mysql on web-01",automation,stop_service,0.95,"service_management|system_monitoring|process_management"
"show dashboard for docker",monitoring,monitor_performance,0.81,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"change max_connections to 512MB",configuration,set_permissions,0.87,"system_info|disk_management"
"show dashboard for postgresql",monitoring,check_health,0.82,"system_monitoring|service_management"
"start redis on db-server",automation,backup_data,0.76,"disk_management|system_info"
"find asset by IP address",asset_management,get_asset_info,0.97,"asset_management|asset_query"
"check alerts for test",monitoring,view_logs,0.91,"log_analysis|system_info"
"describe load balancer",information,compute,0.81,"system_info"
"backup /var/www to /archive",automation,execute_command,0.75,"system_info|process_management"
"discover assets in 192.168.1.0/24",asset_management,list_assets,0.95,"asset_management|resource_listing"
"check status of ssh",monitoring,view_dashboard,0.81,"system_monitoring|api_query"
"update security settings for docker",configuration,change_settings,0.96,"system_info|service_management"
"configure redis on server1",configuration,set_permissions,0.88,"system_info|disk_management"
"stop apache",automation,restore_data,0.8,"disk_management|system_info"
"diagnose redis issue",troubleshooting,fix_problem,0.75,"service_management|system_info|process_management"
"execute ps aux",automation,run_script,0.76,"system_info|process_management"
"stop ssh",automation,deploy_application,0.88,"service_management|disk_management|system_monitoring"
"check alerts for staging",monitoring,view_dashboard,0.78,"system_monitoring|api_query"
"backup /home/user to /tmp",automation,deploy_application,0.98,"service_management|disk_management|system_monitoring"
"modify buffer_size in docker",configuration,update_security,0.91,"system_info|service_management"
"list running processes",information,provide_information,0.89,"process_monitoring|system_info"
"configure docker on prod-web-01",configuration,update_environment,0.83,"system_info|service_management"
"explain firewall rules",information,answer_question,0.78,"system_info"
"get CPU metrics for server1",monitoring,check_alerts,0.81,"system_monitoring|log_analysis"
"update apache configuration",configuration,set_permissions,0.93,"system_info|disk_management"
"change max_connections to 512MB",configuration,update_security,0.82,"system_info|service_management"
"update security settings for redis",configuration,change_settings,0.78,"system_info|service_management"
"explain load balancing",information,list_resources,0.78,"resource_listing|system_info"
"calculate CPU usage",information,get_status_info,0.8,"system_info|system_monitoring|infrastructure_info"
"check status of ssh",monitoring,view_dashboard,0.86,"system_monitoring|api_query"
"describe database cluster",information,explain_concept,0.91,"system_info|resource_listing"
"configure redis on 192.168.1.100",configuration,update_security,0.95,"system_info|service_management"
"set permissions for /var/www",configuration,change_settings,0.76,"system_info|service_management"
"what is the status of application",information,show_documentation,0.82,"system_info"
"find asset by hostname",asset_management,list_assets,0.77,"asset_management|resource_listing"
"describe load balancer",information,calculate,0.94,"system_info"
"get information about database",asset_management,find_asset,0.89,"asset_management|asset_query|resource_listing"
"analyze logs for 404 error",troubleshooting,fix_problem,0.83,"service_management|system_info|process_management"
"stop docker",automation,backup_data,0.91,"disk_management|system_info"
"update ssh configuration",configuration,update_environment,0.91,"system_info|service_management"
"get credentials for postgresql",asset_management,get_credentials,0.93,"credential_access|secret_retrieval"
"check status of postgresql",monitoring,view_logs,0.93,"log_analysis|system_info"
"run deploy.py on web-01",automation,restart_service,0.91,"service_management|system_monitoring|system_info"
"investigate connection timeout in database",troubleshooting,analyze_logs,0.81,"log_analysis|text_search"
"check connectivity to prod-web-01",troubleshooting,diagnose_issue,0.89,"system_monitoring|log_analysis|process_monitoring"
"fix connection issue on prod-web-01",troubleshooting,debug_application,0.84,"process_monitoring|log_analysis|system_monitoring"
"check status of postgresql",monitoring,monitor_performance,0.97,"system_monitoring|memory_monitoring|process_monitoring"
"modify buffer_size in nginx",configuration,update_security,0.77,"system_info|service_management|disk_management"
"how do I monitor CPU",information,calculate,0.78,"system_info|resource_listing"
"view logs for postgresql",monitoring,view_dashboard,0.89,"system_monitoring|api_query"
"read /proc/cpuinfo",information,compute,0.79,"system_info"
"list available servers",information,get_help,0.92,"system_info|infrastructure_info"
"deploy application to development",automation,execute_command,0.79,"system_info|process_management"
"check status of mysql",monitoring,check_health,0.95,"system_monitoring|service_management"
"describe database cluster",information,list_resources,0.84,"resource_listing|system_info"
"fix slow response on 192.168.1.100",troubleshooting,analyze_logs,0.84,"log_analysis|text_search"
"check status of redis",monitoring,view_dashboard,0.82,"system_monitoring|api_query"
"list hosts in production",asset_management,list_assets,0.75,"asset_management|resource_listing"
"view logs for mysql",monitoring,check_status,0.94,"system_monitoring|service_management"
"get server information",asset_management,get_asset_info,0.88,"asset_management|asset_query"
"monitor performance of 192.168.1.100",monitoring,monitor_performance,0.78,"system_monitoring|memory_monitoring|process_monitoring"
"show examples of curl commands",information,calculate,0.81,"system_info|resource_listing"
"get credentials for ssh",asset_management,asset_count,0.86,"asset_management|asset_query"
"stop postgresql",automation,restore_data,0.78,"disk_management|system_info"
"investigate permission denied in service",troubleshooting,debug_application,0.81,"process_monitoring|log_analysis|system_monitoring"
"get information about server",asset_management,list_servers,0.81,"asset_management|resource_listing|network_info"
"show documentation for nginx",information,get_status_info,0.76,"system_info|system_monitoring"
"start apache on server1",automation,deploy_application,0.76,"service_management|disk_management|system_monitoring"
"show examples of cron jobs",information,calculate,0.76,"system_info|resource_listing"
"start nginx on prod-web-01",automation,restart_service,0.85,"service_management|system_monitoring"
"start postgresql on db-server",automation,emergency_response,0.87,"service_management|system_monitoring|process_management"
"diagnose ssh issue",troubleshooting,diagnose_issue,0.78,"system_monitoring|log_analysis|process_monitoring|network_testing"
"analyze logs for connection timeout",troubleshooting,fix_problem,0.91,"service_management|system_info|process_management"
"get information about server",asset_management,list_assets,0.83,"asset_management|resource_listing"
"investigate connection timeout in web app",troubleshooting,diagnose_performance,0.88,"system_monitoring|memory_monitoring|process_monitoring|network_testing"
"monitor performance of web-01",monitoring,get_metrics,0.98,"system_monitoring|memory_monitoring|disk_monitoring|process_monitoring"
"start ssh on web-01",automation,execute_command,0.78,"system_info|process_management"
"display contents of /etc/passwd",information,math,0.91,"system_info"
"update postgresql configuration",configuration,modify_parameters,0.96,"system_info|service_management|disk_management"
"restore /var/www from /backup/daily",automation,execute_command,0.76,"system_info|process_management"
"analyze logs for connection timeout",troubleshooting,diagnose_issue,0.87,"system_monitoring|log_analysis|process_monitoring"
"check health of service",monitoring,check_health,0.85,"system_monitoring|service_management|log_analysis"
"count active servers",asset_management,find_asset,0.89,"asset_management|asset_query"
"get credentials for ssh",asset_management,count_assets,0.76,"asset_management|asset_query|network_info"
"modify max_connections in apache",configuration,update_environment,0.81,"system_info|service_management"
"get status report",information,provide_information,0.93,"system_info|infrastructure_info|resource_listing"
"check status of redis",monitoring,get_metrics,0.75,"system_monitoring|memory_monitoring|disk_monitoring|log_analysis"
"describe load balancer",information,get_help,0.87,"system_info"
"investigate out of memory in web app",troubleshooting,diagnose_issue,0.87,"system_monitoring|log_analysis|process_monitoring"
"show dashboard for postgresql",monitoring,check_status,0.85,"system_monitoring|service_management"
"list hosts in staging",asset_management,get_credentials,0.95,"credential_access|secret_retrieval"
"diagnose postgresql issue",troubleshooting,check_connectivity,0.89,"network_testing|network_monitoring"
"find asset by hostname",asset_management,count_assets,0.94,"asset_management|asset_query|resource_listing"
"get asset web-staging-02",asset_management,search_assets,0.78,"asset_management|asset_query"
"check connectivity to prod-web-01",troubleshooting,investigate_error,0.97,"log_analysis|system_monitoring"
"view logs for postgresql",monitoring,monitor_performance,0.83,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"analyze logs for 404 error",troubleshooting,analyze_logs,0.98,"log_analysis|text_search"
"update redis configuration",configuration,configure_service,0.8,"service_management|system_info|disk_management"
"diagnose ssh issue",troubleshooting,fix_problem,0.84,"service_management|system_info|process_management|process_monitoring"
"view logs for ssh",monitoring,check_status,0.76,"system_monitoring|service_management|disk_monitoring"
"diagnose mysql issue",troubleshooting,diagnose_performance,0.81,"system_monitoring|memory_monitoring|process_monitoring"
"show dashboard for mysql",monitoring,check_health,0.94,"system_monitoring|service_management"
"modify max_connections in redis",configuration,update_security,0.8,"system_info|service_management"
"run backup.sh on db-server",automation,start_service,0.77,"service_management|system_monitoring"
"show system info",information,get_help,0.97,"system_info"
"update security settings for nginx",configuration,modify_parameters,0.79,"system_info|service_management"
"check health of service",monitoring,view_logs,0.78,"log_analysis|system_info"
"describe database cluster",information,list_resources,0.9,"resource_listing|system_info"
"update docker configuration",configuration,set_permissions,0.81,"system_info|disk_management|service_management"
"check alerts for test",monitoring,view_dashboard,0.86,"system_monitoring|api_query"
"update security settings for apache",configuration,update_environment,0.87,"system_info|service_management"
"get asset server-001",asset_management,query_assets,0.87,"asset_management|asset_query"
"show examples of cron jobs",information,explain_concept,0.86,"system_info|resource_listing"
"query assets in datacenter-1",asset_management,list_servers,0.89,"asset_management|resource_listing"
"stop docker",automation,start_service,0.84,"service_management|system_monitoring"
"get information about database",asset_management,asset_discovery,0.77,"asset_management|network_info"
"update docker configuration",configuration,change_settings,0.86,"system_info|service_management"
"list hosts in production",asset_management,find_asset,0.8,"asset_management|asset_query"
"diagnose performance issues on web-01",troubleshooting,investigate_error,0.76,"log_analysis|system_monitoring|process_monitoring"
"count active servers",asset_management,find_asset,0.77,"asset_management|asset_query|network_info"
"set permissions for /home/user",configuration,modify_parameters,0.79,"system_info|service_management|disk_management"
"analyze logs for permission denied",troubleshooting,investigate_error,0.88,"log_analysis|system_monitoring|network_testing"
"configure postgresql on 192.168.1.100",configuration,update_environment,0.86,"system_info|service_management"
"update nginx configuration",configuration,update_security,0.85,"system_info|service_management|disk_management"
"list available credentials",asset_management,count_assets,0.81,"asset_management|asset_query"
"update production settings",configuration,configure_service,0.81,"service_management|system_info|disk_management"
"get status report",information,get_status_info,0.78,"system_info|system_monitoring"
"show examples of ssh keys",information,answer_question,0.95,"system_info"
"get information about server",asset_management,find_asset,0.81,"asset_management|asset_query|network_info"
"list available databases",information,answer_question,0.84,"system_info"
"search for load-balancer",asset_management,get_credentials,0.96,"credential_access|secret_retrieval"
"diagnose performance issues on prod-web-01",troubleshooting,diagnose_issue,0.83,"system_monitoring|log_analysis|process_monitoring|network_testing"
"monitor performance of db-server",monitoring,check_alerts,0.85,"system_monitoring|log_analysis|process_monitoring"
"fix connection issue on 192.168.1.100",troubleshooting,diagnose_performance,0.86,"system_monitoring|memory_monitoring|process_monitoring"
"list all servers",asset_management,list_assets,0.98,"asset_management|resource_listing"
"update test settings",configuration,update_environment,0.83,"system_info|service_management"
"stop postgresql",automation,backup_data,0.96,"disk_management|system_info|service_management"
"get CPU metrics for db-server",monitoring,check_health,0.95,"system_monitoring|service_management"
"analyze logs for permission denied",troubleshooting,check_connectivity,0.94,"network_testing|network_monitoring|system_monitoring"
"execute systemctl status",automation,restart_service,0.91,"service_management|system_monitoring"
"check health of database",monitoring,get_metrics,0.82,"system_monitoring|memory_monitoring|disk_monitoring"
"find asset by hostname",asset_management,get_asset_info,0.87,"asset_management|asset_query"
"investigate connection timeout in web app",troubleshooting,debug_application,0.75,"process_monitoring|log_analysis|system_monitoring"
"diagnose mysql issue",troubleshooting,diagnose_performance,0.87,"system_monitoring|memory_monitoring|process_monitoring"
"get information about server",asset_management,list_hosts,0.87,"asset_management|resource_listing|network_info"
"get CPU metrics for prod-web-01",monitoring,check_health,0.86,"system_monitoring|service_management"
"update postgresql configuration",configuration,update_environment,0.76,"system_info|service_management|disk_management"
"get CPU metrics for web-01",monitoring,monitor_performance,0.78,"system_monitoring|memory_monitoring|process_monitoring"
"check health of database",monitoring,check_alerts,0.95,"system_monitoring|log_analysis"
"explain firewall rules",information,answer_question,0.86,"system_info"
"explain load balancing",information,explain_concept,0.93,"system_info"
"get server list",information,get_status_info,0.81,"system_info|system_monitoring"
"analyze logs for out of memory",troubleshooting,check_connectivity,0.81,"network_testing|network_monitoring"
"get status report",information,explain_concept,0.98,"system_info|infrastructure_info"
"update apache configuration",configuration,change_settings,0.9,"system_info|service_management"
"start mysql on web-01",automation,deploy_application,0.9,"service_management|disk_management|system_monitoring"
"update test settings",configuration,update_environment,0.94,"system_info|service_management|disk_management"
"monitor performance of db-server",monitoring,get_metrics,0.77,"system_monitoring|memory_monitoring|disk_monitoring"
"show dashboard for docker",monitoring,check_health,0.86,"system_monitoring|service_management|process_monitoring"
"diagnose performance issues on web-01",troubleshooting,investigate_error,0.77,"log_analysis|system_monitoring|process_monitoring"
"change max_connections to 512MB",configuration,configure_service,0.96,"service_management|system_info"
"get credentials for docker",asset_management,search_assets,0.75,"asset_management|asset_query|network_info"
"describe database cluster",information,explain_concept,0.95,"system_info|infrastructure_info"
"update security settings for redis",configuration,modify_parameters,0.8,"system_info|service_management"
"get CPU metrics for 192.168.1.100",monitoring,view_dashboard,0.97,"system_monitoring|api_query"
"list available credentials",asset_management,get_asset,0.79,"asset_management|asset_query"
"emergency shutdown of docker",automation,emergency_response,0.84,"service_management|system_monitoring|process_management|system_info"
"get information about server",asset_management,get_asset_info,0.97,"asset_management|asset_query"
"fix connection issue on prod-web-01",troubleshooting,investigate_error,0.91,"log_analysis|system_monitoring"
"calculate memory usage",information,show_examples,0.77,"system_info|infrastructure_info"
"Display contents of /etc/hostname",information,provide_information,0.95,"system_info"
"update staging settings",configuration,set_permissions,0.79,"system_info|disk_management"
"deploy webapp to test",automation,restart_service,0.88,"service_management|system_monitoring"
"configure postgresql on server1",configuration,change_settings,0.97,"system_info|service_management"
"change max_connections to 100",configuration,update_security,0.85,"system_info|service_management"
"list hosts in staging",asset_management,list_credentials,0.84,"credential_access|secret_retrieval"
"diagnose performance issues on 192.168.1.100",troubleshooting,investigate_error,0.87,"log_analysis|system_monitoring"
"execute systemctl status",automation,backup_data,0.81,"disk_management|system_info|service_management"
"set permissions for /home/user",configuration,configure_service,0.85,"service_management|system_info"
"view logs for mysql",monitoring,view_dashboard,0.83,"system_monitoring|api_query|disk_monitoring"
"list hosts in production",asset_management,get_asset,0.76,"asset_management|asset_query|resource_listing"
"list available containers",information,list_resources,0.96,"resource_listing|system_info|infrastructure_info"
"deploy application to test",automation,emergency_response,0.96,"service_management|system_monitoring|process_management"
"list hosts in production",asset_management,asset_discovery,0.78,"asset_management|network_info"
"list available containers",information,math,0.94,"system_info"
"count active servers",asset_management,list_credentials,0.77,"credential_access|secret_retrieval|network_info"
"monitor performance of web-01",monitoring,monitor_performance,0.76,"system_monitoring|memory_monitoring|process_monitoring"
"update security settings for ssh",configuration,update_environment,0.9,"system_info|service_management|disk_management"
"emergency shutdown of apache",automation,backup_data,0.83,"disk_management|system_info"
"update nginx configuration",configuration,update_config,0.81,"system_info|service_management"
"get credentials for docker",asset_management,find_asset,0.96,"asset_management|asset_query"
"emergency shutdown of postgresql",automation,restart_service,0.97,"service_management|system_monitoring"
"check connectivity to prod-web-01",troubleshooting,fix_problem,0.83,"service_management|system_info|process_management|log_analysis"
"list all servers",asset_management,list_servers,0.96,"asset_management|resource_listing"
"get CPU metrics for 192.168.1.100",monitoring,check_health,0.82,"system_monitoring|service_management"
"stop postgresql",automation,start_service,0.81,"service_management|system_monitoring"
"search for db-primary",asset_management,find_asset,0.88,"asset_management|asset_query|resource_listing"
"calculate memory usage",information,explain_concept,0.94,"system_info"
"show dashboard for redis",monitoring,get_metrics,0.9,"system_monitoring|memory_monitoring|disk_monitoring"
"analyze logs for out of memory",troubleshooting,diagnose_performance,0.93,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"execute systemctl status",automation,restart_service,0.87,"service_management|system_monitoring"
"how do I restart a service",information,get_status_info,0.84,"system_info|system_monitoring"
"diagnose ssh issue",troubleshooting,analyze_logs,0.78,"log_analysis|text_search|system_monitoring"
"debug service performance",troubleshooting,debug_application,0.86,"process_monitoring|log_analysis|system_monitoring|network_testing"
"update production settings",configuration,configure_service,0.79,"service_management|system_info|disk_management"
"what is the status of service",information,provide_information,0.92,"system_info|infrastructure_info"
"investigate permission denied in database",troubleshooting,diagnose_issue,0.82,"system_monitoring|log_analysis|process_monitoring"
"restore /etc/nginx from /snapshots/latest",automation,restart_service,0.96,"service_management|system_monitoring|system_info"
"execute df -h",automation,stop_service,0.77,"service_management|system_monitoring"
"list available credentials",asset_management,get_asset,0.94,"asset_management|asset_query|resource_listing"
"get CPU metrics for prod-web-01",monitoring,check_alerts,0.84,"system_monitoring|log_analysis"
"show documentation for nginx",information,explain_concept,0.92,"system_info"
"check status of redis",monitoring,monitor_performance,0.8,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"get credentials for apache",asset_management,list_servers,0.77,"asset_management|resource_listing|asset_query"
"update test settings",configuration,set_permissions,0.91,"system_info|disk_management"
"update postgresql configuration",configuration,update_config,0.98,"system_info|service_management"
"update security settings for docker",configuration,change_settings,0.8,"system_info|service_management"
"diagnose postgresql issue",troubleshooting,debug_application,0.97,"process_monitoring|log_analysis|system_monitoring|network_testing"
"find asset by hostname",asset_management,query_assets,0.84,"asset_management|asset_query"
"get information about load balancer",asset_management,search_assets,0.97,"asset_management|asset_query"
"analyze logs for connection timeout",troubleshooting,fix_problem,0.92,"service_management|system_info|process_management|system_monitoring"
"emergency shutdown of docker",automation,run_script,0.93,"system_info|process_management"
"configure apache on server1",configuration,update_config,0.88,"system_info|service_management"
"modify max_connections in postgresql",configuration,update_security,0.86,"system_info|service_management"
"check health of database",monitoring,check_alerts,0.97,"system_monitoring|log_analysis"
"discover assets in 192.168.1.0/24",asset_management,list_hosts,0.76,"asset_management|resource_listing|network_info"
"fix memory leak on prod-web-01",troubleshooting,check_connectivity,0.88,"network_testing|network_monitoring"
"update production settings",configuration,modify_parameters,0.98,"system_info|service_management"
"restore /home/user from /backup/daily",automation,restart_service,0.76,"service_management|system_monitoring|system_info"
"update nginx configuration",configuration,set_permissions,0.92,"system_info|disk_management"
"list all servers",asset_management,find_asset,0.84,"asset_management|asset_query"
"check alerts for test",monitoring,check_status,0.8,"system_monitoring|service_management"
"modify max_connections in ssh",configuration,update_config,0.98,"system_info|service_management"
