request,category,action,confidence,capabilities
"check connectivity to server1",troubleshooting,debug_application,0.89,"process_monitoring|log_analysis|system_monitoring|network_testing"
"investigate out of memory in service",troubleshooting,check_connectivity,0.86,"network_testing|network_monitoring"
"restart apache service",automation,stop_service,0.91,"service_management|system_monitoring"
"execute df -h",automation,run_script,0.88,"system_info|process_management|disk_management"
"debug web app performance",troubleshooting,check_connectivity,0.89,"network_testing|network_monitoring"
"search for web-server",asset_management,list_credentials,0.79,"credential_access|secret_retrieval"
"diagnose nginx issue",troubleshooting,diagnose_performance,0.78,"system_monitoring|memory_monitoring|process_monitoring"
"display contents of /etc/passwd",information,describe_system,0.93,"system_info|infrastructure_info"
"check alerts for test",monitoring,get_metrics,0.77,"system_monitoring|memory_monitoring|disk_monitoring|process_monitoring"
"list all servers",asset_management,list_servers,0.93,"asset_management|resource_listing"
"configure ssh on 192.168.1.100",configuration,change_settings,0.88,"system_info|service_management"
"investigate 404 error in web app",troubleshooting,check_connectivity,0.89,"network_testing|network_monitoring"
"update production settings",configuration,update_config,0.85,"system_info|service_management"
"fix slow response on 192.168.1.100",troubleshooting,debug_application,0.83,"process_monitoring|log_analysis|system_monitoring"
"how do I restart a service",information,answer_question,0.88,"system_info"
"start redis on server1",automation,execute_command,0.81,"system_info|process_management|service_management"
"get information about server",asset_management,get_asset_info,0.91,"asset_management|asset_query"
"query assets in AWS us-east-1",asset_management,query_assets,0.76,"asset_management|asset_query"
"query assets in datacenter-1",asset_management,list_hosts,0.96,"asset_management|resource_listing"
"restart ssh service",automation,emergency_response,0.84,"service_management|system_monitoring|process_management"
"update apache configuration",configuration,update_security,0.76,"system_info|service_management"
"change timeout to 30s",configuration,change_settings,0.96,"system_info|service_management|disk_management"
"get information about database",asset_management,count_assets,0.82,"asset_management|asset_query"
"get configuration",information,get_status_info,0.96,"system_info|system_monitoring"
"modify timeout in nginx",configuration,modify_parameters,0.95,"system_info|service_management"
"restore /home/user from /backup/daily",automation,emergency_response,0.84,"service_management|system_monitoring|process_management"
"run cleanup.py on 192.168.1.100",automation,run_script,0.89,"system_info|process_management"
"update production settings",configuration,set_permissions,0.96,"system_info|disk_management"
"show network config",information,show_documentation,0.82,"system_info|infrastructure_info"
"search for web-server",asset_management,search_assets,0.92,"asset_management|asset_query"
"diagnose redis issue",troubleshooting,diagnose_performance,0.86,"system_monitoring|memory_monitoring|process_monitoring"
"check health of service",monitoring,monitor_performance,0.92,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"calculate memory usage",information,show_documentation,0.8,"system_info"
"execute df -h",automation,restore_data,0.76,"disk_management|system_info"
"diagnose nginx issue",troubleshooting,analyze_logs,0.83,"log_analysis|text_search"
"get asset server-001",asset_management,asset_discovery,0.91,"asset_management|network_info"
"diagnose performance issues on prod-web-01",troubleshooting,debug_application,0.88,"process_monitoring|log_analysis|system_monitoring|network_testing"
"get CPU metrics for web-01",monitoring,check_health,0.95,"system_monitoring|service_management|log_analysis"
"diagnose apache issue",troubleshooting,diagnose_performance,0.93,"system_monitoring|memory_monitoring|process_monitoring"
"execute systemctl status",automation,restart_service,0.94,"service_management|system_monitoring"
"view logs for postgresql",monitoring,check_status,0.79,"system_monitoring|service_management"
"backup /var/www to /archive",automation,backup_data,0.83,"disk_management|system_info|service_management"
"restart apache service",automation,restart_service,0.81,"service_management|system_monitoring"
"analyze logs for permission denied",troubleshooting,check_connectivity,0.79,"network_testing|network_monitoring"
"monitor performance of web-01",monitoring,monitor_performance,0.82,"system_monitoring|memory_monitoring|process_monitoring"
"debug web app performance",troubleshooting,check_connectivity,0.97,"network_testing|network_monitoring"
"what is the status of web server",information,math,0.92,"system_info"
"diagnose mysql issue",troubleshooting,analyze_logs,0.95,"log_analysis|text_search"
"explain SSL certificates",information,provide_information,0.95,"system_info|infrastructure_info"
"start redis on prod-web-01",automation,run_script,0.78,"system_info|process_management|disk_management"
"stop apache",automation,deploy_application,0.89,"service_management|disk_management|system_monitoring"
"get information about database",asset_management,list_hosts,0.77,"asset_management|resource_listing"
"show system info",information,get_help,0.85,"system_info"
"diagnose performance issues on db-server",troubleshooting,debug_application,0.79,"process_monitoring|log_analysis|system_monitoring|network_testing"
"configure nginx on db-server",configuration,configure_service,0.84,"service_management|system_info"
"start nginx on web-01",automation,run_script,0.76,"system_info|process_management"
"set permissions for /var/log",configuration,modify_parameters,0.9,"system_info|service_management"
"count active servers",asset_management,asset_discovery,0.81,"asset_management|network_info|resource_listing"
"modify max_connections in apache",configuration,change_settings,0.8,"system_info|service_management"
"change memory_limit to 512MB",configuration,update_config,0.78,"system_info|service_management"
"check status of mysql",monitoring,monitor_performance,0.86,"system_monitoring|memory_monitoring|process_monitoring|disk_monitoring"
"update security settings for postgresql",configuration,set_permissions,0.77,"system_info|disk_management"
"monitor performance of db-server",monitoring,monitor_performance,0.79,"system_monitoring|memory_monitoring|process_monitoring"
"start nginx on prod-web-01",automation,stop_service,0.81,"service_management|system_monitoring|disk_management"
"get CPU metrics for db-server",monitoring,view_dashboard,0.88,"system_monitoring|api_query"
"update security settings for redis",configuration,update_security,0.83,"system_info|service_management"
"monitor performance of db-server",monitoring,check_alerts,0.88,"system_monitoring|log_analysis"
"check status of redis",monitoring,check_status,0.79,"system_monitoring|service_management"
"search for web-server",asset_management,query_assets,0.78,"asset_management|asset_query|network_info"
"check health of web app",monitoring,get_metrics,0.8,"system_monitoring|memory_monitoring|disk_monitoring|log_analysis"
"investigate out of memory in API",troubleshooting,debug_application,0.93,"process_monitoring|log_analysis|system_monitoring|network_testing"
"fix slow response on web-01",troubleshooting,investigate_error,0.79,"log_analysis|system_monitoring|process_monitoring"
"analyze logs for out of memory",troubleshooting,diagnose_issue,0.86,"system_monitoring|log_analysis|process_monitoring|network_testing"
"list all servers",asset_management,get_asset,0.97,"asset_management|asset_query"
"fix connection issue on web-01",troubleshooting,debug_application,0.88,"process_monitoring|log_analysis|system_monitoring"
"read /var/log/nginx/access.log",information,describe_system,0.92,"system_info|infrastructure_info|resource_listing"
"get information about load balancer",asset_management,get_asset_info,0.91,"asset_management|asset_query"
"update test settings",configuration,modify_parameters,0.77,"system_info|service_management"
"check connectivity to web-01",troubleshooting,diagnose_issue,0.93,"system_monitoring|log_analysis|process_monitoring|network_testing"
"analyze logs for connection timeout",troubleshooting,check_connectivity,0.97,"network_testing|network_monitoring"
"search for web-server",asset_management,get_credentials,0.88,"credential_access|secret_retrieval"
"get status report",information,provide_information,0.78,"system_info|infrastructure_info"
"set permissions for /var/www",configuration,update_config,0.8,"system_info|service_management"
"explain SSL certificates",information,describe_system,0.75,"system_info|infrastructure_info"
"restart postgresql service",automation,backup_data,0.91,"disk_management|system_info|process_management"
"change timeout to 512MB",configuration,set_permissions,0.86,"system_info|disk_management|service_management"
"get asset db-prod-01",asset_management,asset_discovery,0.86,"asset_management|network_info"
"restart docker service",automation,deploy_application,0.83,"service_management|disk_management|system_monitoring"
"change timeout to 30s",configuration,update_config,0.84,"system_info|service_management"
"describe web server",information,get_status_info,0.85,"system_info|system_monitoring"
"run backup.sh on 192.168.1.100",automation,emergency_response,0.94,"service_management|system_monitoring|process_management|system_info"
"describe database cluster",information,calculate,0.9,"system_info"
"show network config",information,describe_system,0.84,"system_info|infrastructure_info"
"restore /var/www from /backup/daily",automation,execute_command,0.76,"system_info|process_management|disk_management"
"display contents of /proc/cpuinfo",information,describe_system,0.93,"system_info|infrastructure_info"
"view logs for nginx",monitoring,view_logs,0.91,"log_analysis|system_info"
"start mysql on web-01",automation,restore_data,0.8,"disk_management|system_info"
"monitor performance of web-01",monitoring,view_logs,0.98,"log_analysis|system_info"
"diagnose nginx issue",troubleshooting,fix_problem,0.89,"service_management|system_info|process_management|log_analysis"
"diagnose apache issue",troubleshooting,diagnose_performance,0.97,"system_monitoring|memory_monitoring|process_monitoring"
"check alerts for test",monitoring,check_health,0.84,"system_monitoring|service_management"
"execute df -h",automation,restore_data,0.82,"disk_management|system_info"
"analyze logs for permission denied",troubleshooting,diagnose_performance,0.98,"system_monitoring|memory_monitoring|process_monitoring"
"check health of database",monitoring,check_status,0.93,"system_monitoring|service_management"
"start ssh on 192.168.1.100",automation,stop_service,0.8,"service_management|system_monitoring"
"deploy application to production",automation,backup_data,0.95,"disk_management|system_info"
"diagnose mysql issue",troubleshooting,diagnose_issue,0.95,"system_monitoring|log_analysis|process_monitoring|network_testing"
"get information about database",asset_management,list_hosts,0.81,"asset_management|resource_listing|asset_query"
"monitor performance of web-01",monitoring,check_status,0.84,"system_monitoring|service_management"
"get CPU metrics for prod-web-01",monitoring,check_alerts,0.95,"system_monitoring|log_analysis|disk_monitoring"
"start ssh on server1",automation,emergency_response,0.82,"service_management|system_monitoring|process_management"
"how do I restart a service",information,math,0.97,"system_info"
"read /etc/passwd",information,answer_question,0.85,"system_info"
"fix memory leak on db-server",troubleshooting,analyze_logs,0.81,"log_analysis|text_search|network_testing"
"analyze logs for connection timeout",troubleshooting,check_connectivity,0.91,"network_testing|network_monitoring|log_analysis"
"show process list",information,compute,0.91,"system_info|infrastructure_info"
"count active servers",asset_management,list_servers,0.8,"asset_management|resource_listing"
"get CPU metrics for prod-web-01",monitoring,check_health,0.8,"system_monitoring|service_management"
"describe web server",information,get_status_info,0.93,"system_info|system_monitoring|infrastructure_info"
"view logs for mysql",monitoring,view_dashboard,0.86,"system_monitoring|api_query"
"check health of API",monitoring,view_dashboard,0.79,"system_monitoring|api_query"
"analyze logs for 404 error",troubleshooting,investigate_error,0.79,"log_analysis|system_monitoring"
"check alerts for production",monitoring,check_status,0.76,"system_monitoring|service_management|log_analysis"
"list available services",information,show_examples,0.83,"system_info"
"query assets in datacenter-1",asset_management,get_asset,0.78,"asset_management|asset_query"
"what is the status of database",information,show_documentation,0.83,"system_info"
"view logs for postgresql",monitoring,check_status,0.82,"system_monitoring|service_management"
"analyze logs for out of memory",troubleshooting,debug_application,0.93,"process_monitoring|log_analysis|system_monitoring|network_testing"
"run backup.sh on 192.168.1.100",automation,restore_data,0.83,"disk_management|system_info"
"query assets in on-premises",asset_management,list_servers,0.91,"asset_management|resource_listing|asset_query"
"show examples of ssh keys",information,show_documentation,0.82,"system_info"
"update security settings for apache",configuration,modify_parameters,0.93,"system_info|service_management"
"investigate permission denied in database",troubleshooting,diagnose_performance,0.9,"system_monitoring|memory_monitoring|process_monitoring"
"view logs for postgresql",monitoring,view_logs,0.83,"log_analysis|system_info|system_monitoring"
"get asset server-001",asset_management,get_credentials,0.9,"credential_access|secret_retrieval|network_info"
"update security settings for redis",configuration,configure_service,0.91,"service_management|system_info"
"display contents of /etc/passwd",information,explain_concept,0.77,"system_info|infrastructure_info"
"execute ls -la",automation,run_script,0.91,"system_info|process_management"
"list hosts in test",asset_management,list_servers,0.77,"asset_management|resource_listing"
"check health of API",monitoring,view_dashboard,0.85,"system_monitoring|api_query"
"discover assets in production network",asset_management,get_asset,0.96,"asset_management|asset_query|resource_listing"
"check status of mysql",monitoring,view_logs,0.9,"log_analysis|system_info"
"execute ls -la",automation,emergency_response,0.83,"service_management|system_monitoring|process_management|system_info"
"fix connection issue on web-01",troubleshooting,investigate_error,0.89,"log_analysis|system_monitoring|process_monitoring"
"update staging settings",configuration,change_settings,0.97,"system_info|service_management"
"show process list",information,answer_question,0.95,"system_info"
"count active servers",asset_management,list_assets,0.86,"asset_management|resource_listing"
"backup /etc/nginx to /archive",automation,stop_service,0.8,"service_management|system_monitoring"
"deploy webapp to development",automation,restore_data,0.87,"disk_management|system_info"
"show documentation for monitoring",information,provide_information,0.97,"system_info|infrastructure_info|resource_listing"
"set permissions for /var/log",configuration,update_config,0.86,"system_info|service_management"
"restart apache service",automation,stop_service,0.9,"service_management|system_monitoring"
"get CPU metrics for db-server",monitoring,check_health,0.97,"system_monitoring|service_management"
"get information about server",asset_management,asset_discovery,0.84,"asset_management|network_info"
"analyze logs for permission denied",troubleshooting,diagnose_performance,0.89,"system_monitoring|memory_monitoring|process_monitoring|network_testing"
"display contents of /etc/hostname",information,get_help,0.8,"system_info"
"restore /home/user from /snapshots/latest",automation,execute_command,0.87,"system_info|process_management"
"stop redis",automation,emergency_response,0.75,"service_management|system_monitoring|process_management"
"get CPU metrics for web-01",monitoring,view_dashboard,0.92,"system_monitoring|api_query|memory_monitoring"
"query assets in datacenter-1",asset_management,list_assets,0.9,"asset_management|resource_listing"
"execute ls -la",automation,start_service,0.79,"service_management|system_monitoring"
"fix connection issue on server1",troubleshooting,investigate_error,0.96,"log_analysis|system_monitoring"
"find asset by IP address",asset_management,list_assets,0.88,"asset_management|resource_listing|network_info"
"change max_connections to 30s",configuration,configure_service,0.79,"service_management|system_info"
"show examples of cron jobs",information,describe_system,0.86,"system_info|infrastructure_info"
"run deploy.py on web-01",automation,run_script,0.78,"system_info|process_management|service_management"
"update security settings for apache",configuration,update_config,0.79,"system_info|service_management"
"check connectivity to db-server",troubleshooting,diagnose_performance,0.95,"system_monitoring|memory_monitoring|process_monitoring"
"diagnose apache issue",troubleshooting,diagnose_issue,0.85,"system_monitoring|log_analysis|process_monitoring|network_testing"
"list hosts in staging",asset_management,count_assets,0.75,"asset_management|asset_query|resource_listing"
"calculate memory usage",information,list_resources,0.94,"resource_listing|system_info|infrastructure_info"
"search for web-server",asset_management,get_credentials,0.92,"credential_access|secret_retrieval"
"restore /var/log from /backup/daily",automation,emergency_response,0.88,"service_management|system_monitoring|process_management|system_info"
"get information about database",asset_management,asset_discovery,0.78,"asset_management|network_info"
"update postgresql configuration",configuration,set_permissions,0.82,"system_info|disk_management|service_management"
"calculate memory usage",information,math,0.91,"system_info|infrastructure_info"
"deploy api to staging",automation,execute_command,0.96,"system_info|process_management"
"list hosts in staging",asset_management,list_hosts,0.84,"asset_management|resource_listing"
"check alerts for test",monitoring,monitor_performance,0.81,"system_monitoring|memory_monitoring|process_monitoring"
"view logs for apache",monitoring,view_dashboard,0.84,"system_monitoring|api_query"
"configure postgresql on prod-web-01",configuration,set_permissions,0.96,"system_info|disk_management"
"get server list",information,get_help,0.82,"system_info"
"restore /var/log from /snapshots/latest",automation,restart_service,0.95,"service_management|system_monitoring"
"query assets in datacenter-1",asset_management,count_assets,0.76,"asset_management|asset_query|resource_listing"
"get credentials for postgresql",asset_management,query_assets,0.83,"asset_management|asset_query|network_info"
"check connectivity to db-server",troubleshooting,diagnose_performance,0.88,"system_monitoring|memory_monitoring|process_monitoring"
"update ssh configuration",configuration,modify_parameters,0.75,"system_info|service_management|disk_management"
"get credentials for mysql",asset_management,list_credentials,0.95,"credential_access|secret_retrieval|asset_query"
"check alerts for staging",monitoring,view_logs,0.9,"log_analysis|system_info|system_monitoring"
"list available databases",information,answer_question,0.85,"system_info"
"check status of postgresql",monitoring,view_dashboard,0.98,"system_monitoring|api_query|memory_monitoring"
"debug API performance",troubleshooting,investigate_error,0.82,"log_analysis|system_monitoring|network_testing"
"view logs for docker",monitoring,get_metrics,0.96,"system_monitoring|memory_monitoring|disk_monitoring"
"restore /etc/nginx from /snapshots/latest",automation,start_service,0.9,"service_management|system_monitoring"
"show dashboard for postgresql",monitoring,check_status,0.82,"system_monitoring|service_management"
"fix slow response on prod-web-01",troubleshooting,fix_problem,0.91,"service_management|system_info|process_management"
"investigate permission denied in API",troubleshooting,fix_problem,0.83,"service_management|system_info|process_management"
"check health of API",monitoring,check_status,0.86,"system_monitoring|service_management"
"check health of database",monitoring,monitor_performance,0.89,"system_monitoring|memory_monitoring|process_monitoring"
"get server list",information,explain_concept,0.87,"system_info|infrastructure_info"
"show examples of ssh keys",information,show_examples,0.96,"system_info|infrastructure_info"
"display contents of /etc/passwd",information,show_documentation,0.94,"system_info"
"show documentation for nginx",information,provide_information,0.95,"system_info|infrastructure_info"
"deploy microservice to test",automation,backup_data,0.78,"disk_management|system_info"
"fix connection issue on web-01",troubleshooting,investigate_error,0.95,"log_analysis|system_monitoring"
"diagnose performance issues on prod-web-01",troubleshooting,analyze_logs,0.87,"log_analysis|text_search"
"diagnose performance issues on server1",troubleshooting,diagnose_issue,0.76,"system_monitoring|log_analysis|process_monitoring"
"update security settings for mysql",configuration,change_settings,0.93,"system_info|service_management"
"how do I restart a service",information,answer_question,0.96,"system_info"
"search for load-balancer",asset_management,get_asset,0.84,"asset_management|asset_query"
"analyze logs for connection timeout",troubleshooting,check_connectivity,0.76,"network_testing|network_monitoring"
"get CPU metrics for server1",monitoring,view_logs,0.98,"log_analysis|system_info"
"set permissions for /var/www",configuration,modify_parameters,0.82,"system_info|service_management"
"monitor performance of server1",monitoring,get_metrics,0.97,"system_monitoring|memory_monitoring|disk_monitoring|log_analysis"
"start mysql on 192.168.1.100",automation,start_service,0.8,"service_management|system_monitoring|disk_management"
"show dashboard for mysql",monitoring,get_metrics,0.84,"system_monitoring|memory_monitoring|disk_monitoring"
"deploy microservice to staging",automation,emergency_response,0.81,"service_management|system_monitoring|process_management"
"set permissions for /var/log",configuration,modify_parameters,0.87,"system_info|service_management"
"show documentation for monitoring",information,show_examples,0.96,"system_info|infrastructure_info"
"start postgresql on web-01",automation,stop_service,0.95,"service_management|system_monitoring|disk_management"
"restart apache service",automation,restart_service,0.79,"service_management|system_monitoring"
"restart nginx service",automation,stop_service,0.93,"service_management|system_monitoring"
"monitor performance of db-server",monitoring,view_dashboard,0.77,"system_monitoring|api_query"
"set permissions for /var/www",configuration,update_security,0.88,"system_info|service_management|disk_management"
"get CPU metrics for web-01",monitoring,check_alerts,0.95,"system_monitoring|log_analysis|memory_monitoring"
"set permissions for /etc/nginx",configuration,change_settings,0.81,"system_info|service_management"
"diagnose performance issues on prod-web-01",troubleshooting,fix_problem,0.79,"service_management|system_info|process_management"
"diagnose postgresql issue",troubleshooting,diagnose_performance,0.91,"system_monitoring|memory_monitoring|process_monitoring"
"diagnose performance issues on db-server",troubleshooting,fix_problem,0.94,"service_management|system_info|process_management"
"view logs for ssh",monitoring,check_health,0.95,"system_monitoring|service_management|log_analysis"
"monitor performance of db-server",monitoring,view_logs,0.96,"log_analysis|system_info"
"monitor performance of prod-web-01",monitoring,monitor_performance,0.92,"system_monitoring|memory_monitoring|process_monitoring"
"get credentials for redis",asset_management,asset_discovery,0.84,"asset_management|network_info|asset_query"
"show documentation for docker",information,provide_information,0.83,"system_info|infrastructure_info|resource_listing"
"show network config",information,math,0.83,"system_info|resource_listing"
"get asset db-prod-01",asset_management,list_hosts,0.89,"asset_management|resource_listing"
"describe load balancer",information,list_resources,0.89,"resource_listing|system_info|infrastructure_info"
"monitor performance of db-server",monitoring,view_logs,0.94,"log_analysis|system_info"
"run backup.sh on db-server",automation,emergency_response,0.77,"service_management|system_monitoring|process_management|system_info"
"debug database performance",troubleshooting,fix_problem,0.88,"service_management|system_info|process_management"
"display contents of /proc/cpuinfo",information,get_help,0.85,"system_info"
"calculate CPU usage",information,list_resources,0.97,"resource_listing|system_info"
"what is the status of database",information,show_examples,0.8,"system_info"
"count active servers",asset_management,get_asset_info,0.8,"asset_management|asset_query|resource_listing"
"restore /home/user from /backup/daily",automation,execute_command,0.98,"system_info|process_management|disk_management"
"show examples of curl commands",information,explain_concept,0.82,"system_info|infrastructure_info"
"list all servers",asset_management,query_assets,0.8,"asset_management|asset_query"
"analyze logs for out of memory",troubleshooting,investigate_error,0.77,"log_analysis|system_monitoring"
"update nginx configuration",configuration,configure_service,0.89,"service_management|system_info"
"update security settings for mysql",configuration,update_config,0.96,"system_info|service_management"
"run deploy.py on web-01",automation,restore_data,0.87,"disk_management|system_info"
"get information about database",asset_management,asset_count,0.89,"asset_management|asset_query"
"update security settings for nginx",configuration,set_permissions,0.9,"system_info|disk_management"
"restart ssh service",automation,start_service,0.88,"service_management|system_monitoring|system_info"
"get CPU metrics for prod-web-01",monitoring,view_logs,0.81,"log_analysis|system_info"
"diagnose redis issue",troubleshooting,fix_problem,0.9,"service_management|system_info|process_management"
"restart ssh service",automation,restart_service,0.97,"service_management|system_monitoring"
"how do I check logs",information,get_status_info,0.98,"system_info|system_monitoring"
"update test settings",configuration,update_config,0.92,"system_info|service_management|disk_management"
"describe web server",information,math,0.78,"system_info|infrastructure_info"
"change port to 30s",configuration,modify_parameters,0.96,"system_info|service_management"
"debug database performance",troubleshooting,fix_problem,0.95,"service_management|system_info|process_management"
"check connectivity to prod-web-01",troubleshooting,investigate_error,0.97,"log_analysis|system_monitoring"
"show examples of cron jobs",information,get_help,0.93,"system_info"
"check health of web app",monitoring,check_status,0.84,"system_monitoring|service_management"
"restore /home/user from /backup/daily",automation,stop_service,0.84,"service_management|system_monitoring|process_management"
"show network config",information,math,0.82,"system_info"
"configure apache on prod-web-01",configuration,update_environment,0.84,"system_info|service_management"
"count active servers",asset_management,get_credentials,0.95,"credential_access|secret_retrieval"
"restore /var/www from /backup/daily",automation,backup_data,0.92,"disk_management|system_info"
"update security settings for docker",configuration,set_permissions,0.87,"system_info|disk_management|service_management"
"view logs for docker",monitoring,view_dashboard,0.94,"system_monitoring|api_query"
"restart nginx service",automation,deploy_application,0.8,"service_management|disk_management|system_monitoring"
"list available credentials",asset_management,list_hosts,0.93,"asset_management|resource_listing"
"backup /etc/nginx to /backup",automation,deploy_application,0.78,"service_management|disk_management|system_monitoring"
"get configuration",information,describe_system,0.88,"system_info|infrastructure_info"
"discover assets in 10.0.0.0/16",asset_management,get_asset,0.76,"asset_management|asset_query|network_info"
"search for web-server",asset_management,query_assets,0.85,"asset_management|asset_query|resource_listing"
"show documentation for nginx",information,show_examples,0.85,"system_info|resource_listing"
"check connectivity to db-server",troubleshooting,analyze_logs,0.83,"log_analysis|text_search"
"execute ps aux",automation,stop_service,0.85,"service_management|system_monitoring|system_info"
"check connectivity to 192.168.1.100",troubleshooting,diagnose_issue,0.86,"system_monitoring|log_analysis|process_monitoring"
"show examples of ssh keys",information,show_documentation,0.97,"system_info"
"search for load-balancer",asset_management,get_asset_info,0.84,"asset_management|asset_query"
"discover assets in 192.168.1.0/24",asset_management,search_assets,0.96,"asset_management|asset_query|network_info"
"view logs for nginx",monitoring,check_status,0.79,"system_monitoring|service_management"
"modify buffer_size in ssh",configuration,update_security,0.86,"system_info|service_management|disk_management"
"check status of mysql",monitoring,monitor_performance,0.89,"system_monitoring|memory_monitoring|process_monitoring"
"get credentials for postgresql",asset_management,search_assets,0.9,"asset_management|asset_query"
"check status of apache",monitoring,check_health,0.9,"system_monitoring|service_management|disk_monitoring"
"show dashboard for postgresql",monitoring,get_metrics,0.96,"system_monitoring|memory_monitoring|disk_monitoring|log_analysis"
"update test settings",configuration,change_settings,0.91,"system_info|service_management"
"modify timeout in nginx",configuration,update_security,0.85,"system_info|service_management"
"check alerts for test",monitoring,check_alerts,0.81,"system_monitoring|log_analysis|memory_monitoring"
"get CPU metrics for db-server",monitoring,check_status,0.96,"system_monitoring|service_management"
"diagnose nginx issue",troubleshooting,debug_application,0.98,"process_monitoring|log_analysis|system_monitoring|network_testing"
"count active servers",asset_management,search_assets,0.88,"asset_management|asset_query|network_info"
"execute df -h",automation,run_script,0.84,"system_info|process_management"
"read /etc/passwd",information,math,0.8,"system_info"
"configure redis on 192.168.1.100",configuration,modify_parameters,0.85,"system_info|service_management"
"describe web server",information,get_help,0.95,"system_info"
"update security settings for apache",configuration,modify_parameters,0.75,"system_info|service_management"
"list hosts in production",asset_management,find_asset,0.8,"asset_management|asset_query"
"analyze logs for out of memory",troubleshooting,analyze_logs,0.87,"log_analysis|text_search"
"discover assets in production network",asset_management,list_hosts,0.93,"asset_management|resource_listing"
"diagnose redis issue",troubleshooting,check_connectivity,0.83,"network_testing|network_monitoring"
"discover assets in production network",asset_management,get_asset_info,0.77,"asset_management|asset_query|network_info"
"list hosts in production",asset_management,list_servers,0.91,"asset_management|resource_listing"
"query assets in on-premises",asset_management,list_servers,0.92,"asset_management|resource_listing"
"check status of redis",monitoring,get_metrics,0.88,"system_monitoring|memory_monitoring|disk_monitoring|process_monitoring"
"diagnose performance issues on web-01",troubleshooting,analyze_logs,0.87,"log_analysis|text_search"
"backup /etc/nginx to /tmp",automation,start_service,0.85,"service_management|system_monitoring"
"diagnose performance issues on server1",troubleshooting,check_connectivity,0.95,"network_testing|network_monitoring|system_monitoring"
"analyze logs for connection timeout",troubleshooting,check_connectivity,0.77,"network_testing|network_monitoring"
"deploy application to development",automation,execute_command,0.79,"system_info|process_management|disk_management"
"view logs for mysql",monitoring,check_health,0.89,"system_monitoring|service_management"
"get information about load balancer",asset_management,list_servers,0.88,"asset_management|resource_listing|asset_query"
"describe database cluster",information,describe_system,0.79,"system_info|infrastructure_info"
"restore /var/log from /backup/daily",automation,deploy_application,0.84,"service_management|disk_management|system_monitoring"
"what is the status of web server",information,compute,0.94,"system_info|resource_listing"
