request,category,action,confidence,capabilities
"set permissions for /var/log",configuration,configure_service,0.92,"service_management|system_info"
"show documentation for kubernetes",information,answer_question,0.83,"system_info|resource_listing"
"describe web server",information,describe_system,0.96,"system_info|infrastructure_info"
"debug database performance",troubleshooting,debug_application,0.77,"process_monitoring|log_analysis|system_monitoring"
"emergency shutdown of apache",automation,restart_service,0.91,"service_management|system_monitoring|system_info"
"start mysql on prod-web-01",automation,deploy_application,0.88,"service_management|disk_management|system_monitoring"
"investigate 404 error in service",troubleshooting,debug_application,0.92,"process_monitoring|log_analysis|system_monitoring"
"show dashboard for ssh",monitoring,get_metrics,0.93,"system_monitoring|memory_monitoring|disk_monitoring"
"explain load balancing",information,get_help,0.83,"system_info"
"diagnose performance issues on server1",troubleshooting,investigate_error,0.81,"log_analysis|system_monitoring"
"get asset web-staging-02",asset_management,get_asset_info,0.81,"asset_management|asset_query|resource_listing"
"check health of web app",monitoring,check_alerts,0.77,"system_monitoring|log_analysis"
"stop nginx",automation,restore_data,0.8,"disk_management|system_info"
"update security settings for nginx",configuration,update_environment,0.93,"system_info|service_management|disk_management"
"fix memory leak on 192.168.1.100",troubleshooting,diagnose_performance,0.91,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"show dashboard for apache",monitoring,monitor_performance,0.76,"system_monitoring|memory_monitoring|process_monitoring"
"deploy api to development",automation,stop_service,0.93,"service_management|system_monitoring|process_management"
"restore /home/user from /backup/daily",automation,backup_data,0.79,"disk_management|system_info"
"check alerts for development",monitoring,check_alerts,0.85,"system_monitoring|log_analysis"
"modify timeout in ssh",configuration,update_environment,0.89,"system_info|service_management"
"search for db-primary",asset_management,asset_discovery,0.83,"asset_management|network_info|asset_query"
"check health of service",monitoring,check_status,0.96,"system_monitoring|service_management|log_analysis"
"backup /etc/nginx to /archive",automation,run_script,0.94,"system_info|process_management|disk_management"
"list available servers",information,compute,0.86,"system_info"
"investigate out of memory in API",troubleshooting,check_connectivity,0.89,"network_testing|network_monitoring"
"monitor performance of 192.168.1.100",monitoring,view_logs,0.83,"log_analysis|system_info"
"emergency shutdown of nginx",automation,stop_service,0.92,"service_management|system_monitoring"
"check health of database",monitoring,check_status,0.94,"system_monitoring|service_management"
"show documentation for nginx",information,show_examples,0.82,"system_info"
"check connectivity to 192.168.1.100",troubleshooting,diagnose_issue,0.79,"system_monitoring|log_analysis|process_monitoring"
"check status of apache",monitoring,view_dashboard,0.81,"system_monitoring|api_query"
"calculate disk space",information,compute,0.78,"system_info"
"update production settings",configuration,change_settings,0.85,"system_info|service_management"
"set permissions for /home/user",configuration,modify_parameters,0.88,"system_info|service_management"
"check status of postgresql",monitoring,view_dashboard,0.88,"system_monitoring|api_query"
"read file /proc/cpuinfo",information,provide_information,0.92,"system_info|infrastructure_info"
"configure docker on prod-web-01",configuration,configure_service,0.89,"service_management|system_info"
"analyze logs for permission denied",troubleshooting,fix_problem,0.95,"service_management|system_info|process_management"
"diagnose performance issues on web-01",troubleshooting,check_connectivity,0.85,"network_testing|network_monitoring"
"find asset by hostname",asset_management,list_servers,0.95,"asset_management|resource_listing"
"check connectivity to prod-web-01",troubleshooting,diagnose_performance,0.84,"system_monitoring|memory_monitoring|process_monitoring"
"set permissions for /home/user",configuration,update_environment,0.89,"system_info|service_management"
"list available databases",information,answer_question,0.8,"system_info|resource_listing"
"restore /home/user from /snapshots/latest",automation,restart_service,0.84,"service_management|system_monitoring"
"list available credentials",asset_management,count_assets,0.78,"asset_management|asset_query"
"list available credentials",asset_management,search_assets,0.81,"asset_management|asset_query"
"show dashboard for nginx",monitoring,check_health,0.98,"system_monitoring|service_management"
"configure postgresql on prod-web-01",configuration,change_settings,0.88,"system_info|service_management"
"run cleanup.py on 192.168.1.100",automation,backup_data,0.85,"disk_management|system_info|process_management"
"investigate permission denied in service",troubleshooting,debug_application,0.97,"process_monitoring|log_analysis|system_monitoring"
"list available services",information,math,0.76,"system_info"
"check status of nginx",monitoring,view_dashboard,0.97,"system_monitoring|api_query"
"run maintenance.sh on server1",automation,deploy_application,0.95,"service_management|disk_management|system_monitoring|process_management"
"show examples of curl commands",information,calculate,0.81,"system_info"
"get asset db-prod-01",asset_management,list_credentials,0.86,"credential_access|secret_retrieval|network_info"
"show dashboard for redis",monitoring,check_alerts,0.75,"system_monitoring|log_analysis"
"query assets in datacenter-1",asset_management,list_hosts,0.92,"asset_management|resource_listing"
"start redis on prod-web-01",automation,emergency_response,0.87,"service_management|system_monitoring|process_management"
"stop nginx",automation,stop_service,0.93,"service_management|system_monitoring"
"update test settings",configuration,update_environment,0.8,"system_info|service_management"
"get asset db-prod-01",asset_management,list_credentials,0.91,"credential_access|secret_retrieval|asset_management"
"update security settings for postgresql",configuration,configure_service,0.9,"service_management|system_info"
"update nginx configuration",configuration,change_settings,0.91,"system_info|service_management"
"check alerts for test",monitoring,check_status,0.83,"system_monitoring|service_management"
"check status of apache",monitoring,check_health,0.97,"system_monitoring|service_management"
"analyze logs for 404 error",troubleshooting,diagnose_performance,0.77,"system_monitoring|memory_monitoring|process_monitoring"
"restart docker service",automation,deploy_application,0.81,"service_management|disk_management|system_monitoring"
"monitor performance of web-01",monitoring,view_logs,0.75,"log_analysis|system_info|memory_monitoring"
"deploy webapp to test",automation,run_script,0.9,"system_info|process_management|service_management"
"explain firewall rules",information,list_resources,0.79,"resource_listing|system_info"
"run backup.sh on server1",automation,emergency_response,0.94,"service_management|system_monitoring|process_management"
"show network config",information,get_status_info,0.92,"system_info|system_monitoring"
"diagnose ssh issue",troubleshooting,check_connectivity,0.93,"network_testing|network_monitoring|system_monitoring"
"analyze logs for out of memory",troubleshooting,diagnose_issue,0.9,"system_monitoring|log_analysis|process_monitoring|network_testing"
"deploy webapp to staging",automation,restore_data,0.95,"disk_management|system_info|process_management"
"debug database performance",troubleshooting,diagnose_performance,0.96,"system_monitoring|memory_monitoring|process_monitoring"
"calculate CPU usage",information,describe_system,0.93,"system_info|infrastructure_info"
"modify buffer_size in redis",configuration,update_config,0.81,"system_info|service_management"
"diagnose performance issues on server1",troubleshooting,diagnose_issue,0.94,"system_monitoring|log_analysis|process_monitoring"
"display contents of /proc/cpuinfo",information,compute,0.97,"system_info|resource_listing"
"backup /etc/nginx to /archive",automation,restart_service,0.94,"service_management|system_monitoring"
"list available credentials",asset_management,list_servers,0.95,"asset_management|resource_listing|asset_query"
"update security settings for redis",configuration,set_permissions,0.95,"system_info|disk_management"
"stop apache",automation,stop_service,0.87,"service_management|system_monitoring"
"modify buffer_size in nginx",configuration,set_permissions,0.91,"system_info|disk_management"
"search for web-server",asset_management,list_assets,0.93,"asset_management|resource_listing|network_info"
"explain load balancing",information,describe_system,0.87,"system_info|infrastructure_info"
"execute ls -la",automation,restore_data,0.78,"disk_management|system_info"
"discover assets in 192.168.1.0/24",asset_management,asset_count,0.85,"asset_management|asset_query|resource_listing"
"start redis on server1",automation,execute_command,0.88,"system_info|process_management"
"configure postgresql on db-server",configuration,set_permissions,0.89,"system_info|disk_management|service_management"
"update mysql configuration",configuration,update_security,0.92,"system_info|service_management"
"check health of service",monitoring,check_alerts,0.78,"system_monitoring|log_analysis"
"investigate connection timeout in service",troubleshooting,investigate_error,0.85,"log_analysis|system_monitoring"
"list all servers",asset_management,get_asset_info,0.87,"asset_management|asset_query"
"get status report",information,show_examples,0.88,"system_info"
"diagnose mysql issue",troubleshooting,analyze_logs,0.81,"log_analysis|text_search|network_testing"
"update security settings for ssh",configuration,update_security,0.78,"system_info|service_management"
"check health of API",monitoring,view_dashboard,0.96,"system_monitoring|api_query|log_analysis"
"stop redis",automation,backup_data,0.78,"disk_management|system_info"
"read /etc/passwd",information,provide_information,0.78,"system_info|infrastructure_info|resource_listing"
"check health of service",monitoring,monitor_performance,0.83,"system_monitoring|memory_monitoring|process_monitoring"
"monitor performance of prod-web-01",monitoring,view_logs,0.96,"log_analysis|system_info"
"show documentation for kubernetes",information,calculate,0.94,"system_info|resource_listing"
"update staging settings",configuration,configure_service,0.93,"service_management|system_info|disk_management"
"show system info",information,get_help,0.94,"system_info|infrastructure_info"
"display contents of /etc/hostname",information,explain_concept,0.87,"system_info"
"configure docker on prod-web-01",configuration,configure_service,0.9,"service_management|system_info"
"restart nginx service",automation,backup_data,0.88,"disk_management|system_info|service_management"
"count active servers",asset_management,query_assets,0.76,"asset_management|asset_query"
"investigate 404 error in database",troubleshooting,investigate_error,0.89,"log_analysis|system_monitoring"
"update staging settings",configuration,set_permissions,0.89,"system_info|disk_management|service_management"
"show dashboard for apache",monitoring,check_alerts,0.82,"system_monitoring|log_analysis"
"update ssh configuration",configuration,configure_service,0.96,"service_management|system_info"
"check alerts for production",monitoring,check_health,0.94,"system_monitoring|service_management|disk_monitoring"
"fix memory leak on prod-web-01",troubleshooting,diagnose_performance,0.81,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"stop nginx",automation,execute_command,0.82,"system_info|process_management"
"check status of nginx",monitoring,check_status,0.86,"system_monitoring|service_management|disk_monitoring"
"list available credentials",asset_management,asset_count,0.84,"asset_management|asset_query"
"list hosts in test",asset_management,search_assets,0.93,"asset_management|asset_query"
"set permissions for /var/log",configuration,set_permissions,0.88,"system_info|disk_management"
"update staging settings",configuration,update_config,0.91,"system_info|service_management|disk_management"
"stop nginx",automation,stop_service,0.89,"service_management|system_monitoring|disk_management"
"update production settings",configuration,update_security,0.97,"system_info|service_management"
"stop nginx",automation,restore_data,0.77,"disk_management|system_info|service_management"
"explain firewall rules",information,compute,0.95,"system_info|infrastructure_info"
"update production settings",configuration,update_security,0.87,"system_info|service_management|disk_management"
"describe database cluster",information,provide_information,0.95,"system_info|infrastructure_info"
"view logs for postgresql",monitoring,monitor_performance,0.81,"system_monitoring|memory_monitoring|process_monitoring"
"check alerts for development",monitoring,view_logs,0.77,"log_analysis|system_info"
"find asset by hostname",asset_management,list_assets,0.79,"asset_management|resource_listing|asset_query"
"configure mysql on server1",configuration,configure_service,0.89,"service_management|system_info"
"change memory_limit to 8080",configuration,set_permissions,0.88,"system_info|disk_management"
"fix connection issue on web-01",troubleshooting,fix_problem,0.86,"service_management|system_info|process_management"
"view logs for postgresql",monitoring,monitor_performance,0.88,"system_monitoring|memory_monitoring|process_monitoring"
"list hosts in development",asset_management,list_assets,0.79,"asset_management|resource_listing"
"update production settings",configuration,update_config,0.77,"system_info|service_management|disk_management"
"check health of database",monitoring,check_alerts,0.83,"system_monitoring|log_analysis"
"stop apache",automation,deploy_application,0.95,"service_management|disk_management|system_monitoring"
"analyze logs for out of memory",troubleshooting,fix_problem,0.77,"service_management|system_info|process_management"
"get credentials for apache",asset_management,get_asset,0.75,"asset_management|asset_query"
"get CPU metrics for web-01",monitoring,check_status,0.75,"system_monitoring|service_management"
"list available databases",information,get_status_info,0.98,"system_info|system_monitoring"
"configure apache on db-server",configuration,modify_parameters,0.8,"system_info|service_management"
"update postgresql configuration",configuration,modify_parameters,0.85,"system_info|service_management|disk_management"
"list hosts in test",asset_management,get_credentials,0.78,"credential_access|secret_retrieval|asset_management"
"update apache configuration",configuration,set_permissions,0.87,"system_info|disk_management"
"modify buffer_size in apache",configuration,update_security,0.83,"system_info|service_management"
"list all servers",asset_management,get_asset,0.78,"asset_management|asset_query"
"count active servers",asset_management,search_assets,0.97,"asset_management|asset_query"
"investigate permission denied in API",troubleshooting,investigate_error,0.82,"log_analysis|system_monitoring"
"show dashboard for apache",monitoring,check_status,0.85,"system_monitoring|service_management|memory_monitoring"
"what is the status of web server",information,calculate,0.9,"system_info"
"list available credentials",asset_management,get_credentials,0.91,"credential_access|secret_retrieval|resource_listing"
"get CPU metrics for 192.168.1.100",monitoring,view_logs,0.9,"log_analysis|system_info"
"get information about database",asset_management,list_credentials,0.9,"credential_access|secret_retrieval"
"describe load balancer",information,describe_system,0.76,"system_info|infrastructure_info"
"run cleanup.py on web-01",automation,emergency_response,0.79,"service_management|system_monitoring|process_management"
"change port to 30s",configuration,change_settings,0.86,"system_info|service_management"
"show dashboard for nginx",monitoring,get_metrics,0.96,"system_monitoring|memory_monitoring|disk_monitoring"
"diagnose performance issues on web-01",troubleshooting,fix_problem,0.86,"service_management|system_info|process_management"
"update security settings for apache",configuration,update_environment,0.93,"system_info|service_management"
"update test settings",configuration,update_environment,0.75,"system_info|service_management"
"diagnose nginx issue",troubleshooting,diagnose_issue,0.87,"system_monitoring|log_analysis|process_monitoring"
"monitor performance of 192.168.1.100",monitoring,monitor_performance,0.8,"system_monitoring|memory_monitoring|process_monitoring"
"diagnose apache issue",troubleshooting,fix_problem,0.92,"service_management|system_info|process_management"
"check alerts for development",monitoring,check_health,0.88,"system_monitoring|service_management"
"execute systemctl status",automation,run_script,0.84,"system_info|process_management"
"configure apache on web-01",configuration,configure_service,0.8,"service_management|system_info|disk_management"
"stop docker",automation,execute_command,0.93,"system_info|process_management|disk_management"
"emergency shutdown of apache",automation,restart_service,0.75,"service_management|system_monitoring|process_management"
"describe database cluster",information,show_examples,0.94,"system_info"
"discover assets in production network",asset_management,asset_count,0.85,"asset_management|asset_query"
"execute ps aux",automation,start_service,0.88,"service_management|system_monitoring"
"update security settings for mysql",configuration,configure_service,0.97,"service_management|system_info"
"fix disk space on server1",troubleshooting,analyze_logs,0.83,"log_analysis|text_search"
"update production settings",configuration,change_settings,0.89,"system_info|service_management|disk_management"
"get information about server",asset_management,asset_discovery,0.93,"asset_management|network_info"
"update docker configuration",configuration,configure_service,0.85,"service_management|system_info"
"restart redis service",automation,execute_command,0.88,"system_info|process_management"
"emergency shutdown of apache",automation,emergency_response,0.94,"service_management|system_monitoring|process_management"
"backup /var/www to /backup",automation,start_service,0.97,"service_management|system_monitoring|process_management"
"restore /var/log from /snapshots/latest",automation,start_service,0.84,"service_management|system_monitoring|disk_management"
"how do I monitor CPU",information,show_documentation,0.87,"system_info|infrastructure_info"
"fix disk space on server1",troubleshooting,check_connectivity,0.77,"network_testing|network_monitoring|process_monitoring"
"describe load balancer",information,get_status_info,0.92,"system_info|system_monitoring"
"read /etc/hostname",information,compute,0.82,"system_info"
"restart mysql service",automation,restore_data,0.83,"disk_management|system_info|service_management"
"check connectivity to web-01",troubleshooting,debug_application,0.89,"process_monitoring|log_analysis|system_monitoring"
"list all servers",asset_management,list_credentials,0.85,"credential_access|secret_retrieval|network_info"
"count active servers",asset_management,find_asset,0.93,"asset_management|asset_query"
"stop redis",automation,emergency_response,0.78,"service_management|system_monitoring|process_management"
"list available credentials",asset_management,count_assets,0.78,"asset_management|asset_query|resource_listing"
"show examples of curl commands",information,compute,0.84,"system_info"
"list available credentials",asset_management,asset_discovery,0.83,"asset_management|network_info|resource_listing"
"emergency shutdown of docker",automation,deploy_application,0.75,"service_management|disk_management|system_monitoring"
"what is the status of web server",information,compute,0.85,"system_info"
"get configuration",information,compute,0.9,"system_info|resource_listing"
"stop nginx",automation,emergency_response,0.97,"service_management|system_monitoring|process_management"
"check disk space on server",monitoring,get_metrics,0.91,"disk_monitoring|system_monitoring"
"run deploy.py on db-server",automation,backup_data,0.87,"disk_management|system_info"
"show system info",information,list_resources,0.81,"resource_listing|system_info|infrastructure_info"
"search for load-balancer",asset_management,get_credentials,0.9,"credential_access|secret_retrieval"
"display contents of /etc/passwd",information,get_help,0.8,"system_info|resource_listing"
"investigate connection timeout in web app",troubleshooting,fix_problem,0.98,"service_management|system_info|process_management"
"update nginx configuration",configuration,update_config,0.95,"system_info|service_management"
"change max_connections to 512MB",configuration,update_config,0.91,"system_info|service_management|disk_management"
"check alerts for production",monitoring,check_status,0.87,"system_monitoring|service_management"
"what is the status of web server",information,math,0.88,"system_info"
"show dashboard for docker",monitoring,get_metrics,0.89,"system_monitoring|memory_monitoring|disk_monitoring"
"emergency shutdown of mysql",automation,run_script,0.79,"system_info|process_management"
"fix disk space on web-01",troubleshooting,analyze_logs,0.8,"log_analysis|text_search"
"get credentials for ssh",asset_management,count_assets,0.82,"asset_management|asset_query"
"check alerts for development",monitoring,view_logs,0.79,"log_analysis|system_info"
"check status of postgresql",monitoring,check_alerts,0.83,"system_monitoring|log_analysis"
"check alerts for test",monitoring,check_health,0.83,"system_monitoring|service_management"
"check health of web app",monitoring,get_metrics,0.89,"system_monitoring|memory_monitoring|disk_monitoring"
"discover assets in 192.168.1.0/24",asset_management,list_assets,0.88,"asset_management|resource_listing|network_info"
"get server list",information,show_documentation,0.96,"system_info"
"fix connection issue on web-01",troubleshooting,analyze_logs,0.93,"log_analysis|text_search"
"show dashboard for apache",monitoring,check_alerts,0.87,"system_monitoring|log_analysis"
"cat /var/log/nginx/access.log",information,provide_information,0.94,"system_info|log_analysis"
"query assets in AWS us-east-1",asset_management,search_assets,0.77,"asset_management|asset_query"
"check connectivity to db-server",troubleshooting,diagnose_issue,0.97,"system_monitoring|log_analysis|process_monitoring"
"calculate CPU usage",information,list_resources,0.88,"resource_listing|system_info"
"show documentation for kubernetes",information,show_examples,0.86,"system_info"
"backup /etc/nginx to /tmp",automation,start_service,0.78,"service_management|system_monitoring|process_management"
"change timeout to 100",configuration,update_config,0.79,"system_info|service_management"
"Show me the contents of /etc/passwd",information,provide_information,0.93,"system_info"
"check connectivity to 192.168.1.100",troubleshooting,debug_application,0.79,"process_monitoring|log_analysis|system_monitoring"
"how do I restart a service",information,explain_concept,0.78,"system_info|infrastructure_info"
"modify buffer_size in ssh",configuration,update_environment,0.76,"system_info|service_management|disk_management"
"update production settings",configuration,modify_parameters,0.86,"system_info|service_management"
"check alerts for development",monitoring,monitor_performance,0.77,"system_monitoring|memory_monitoring|process_monitoring"
"update security settings for docker",configuration,set_permissions,0.91,"system_info|disk_management"
"modify buffer_size in postgresql",configuration,update_environment,0.78,"system_info|service_management|disk_management"
"list hosts in staging",asset_management,list_hosts,0.86,"asset_management|resource_listing"
"list available credentials",asset_management,get_asset_info,0.78,"asset_management|asset_query"
"update security settings for redis",configuration,modify_parameters,0.93,"system_info|service_management"
"get CPU metrics for server1",monitoring,check_alerts,0.84,"system_monitoring|log_analysis"
"fix disk space on web-01",troubleshooting,diagnose_performance,0.82,"system_monitoring|memory_monitoring|process_monitoring"
"list hosts in production",asset_management,asset_count,0.82,"asset_management|asset_query"
"display contents of /etc/hostname",information,list_resources,0.93,"resource_listing|system_info"
"deploy microservice to development",automation,execute_command,0.94,"system_info|process_management|disk_management"
"diagnose performance issues on web-01",troubleshooting,investigate_error,0.77,"log_analysis|system_monitoring"
"list available servers",information,provide_information,0.92,"system_info|infrastructure_info"
"analyze logs for permission denied",troubleshooting,analyze_logs,0.84,"log_analysis|text_search"
"calculate disk space",information,show_documentation,0.88,"system_info|infrastructure_info"
"show dashboard for ssh",monitoring,get_metrics,0.91,"system_monitoring|memory_monitoring|disk_monitoring|process_monitoring"
"start apache on db-server",automation,deploy_application,0.94,"service_management|disk_management|system_monitoring"
"deploy webapp to staging",automation,deploy_application,0.75,"service_management|disk_management|system_monitoring"
"analyze logs for permission denied",troubleshooting,diagnose_performance,0.79,"system_monitoring|memory_monitoring|process_monitoring"
"set permissions for /var/www",configuration,update_security,0.91,"system_info|service_management"
"check status of redis",monitoring,get_metrics,0.77,"system_monitoring|memory_monitoring|disk_monitoring"
"get CPU metrics for db-server",monitoring,view_logs,0.98,"log_analysis|system_info"
"check alerts for development",monitoring,get_metrics,0.87,"system_monitoring|memory_monitoring|disk_monitoring|log_analysis"
"analyze logs for connection timeout",troubleshooting,check_connectivity,0.88,"network_testing|network_monitoring"
"restore /home/user from /snapshots/latest",automation,execute_command,0.97,"system_info|process_management|disk_management"
"query assets in datacenter-1",asset_management,count_assets,0.81,"asset_management|asset_query"
"list hosts in development",asset_management,list_credentials,0.76,"credential_access|secret_retrieval|asset_management"
"analyze logs for permission denied",troubleshooting,debug_application,0.91,"process_monitoring|log_analysis|system_monitoring"
"modify buffer_size in redis",configuration,update_environment,0.88,"system_info|service_management"
"read /proc/cpuinfo",information,calculate,0.77,"system_info|infrastructure_info"
"show examples of cron jobs",information,describe_system,0.8,"system_info|infrastructure_info|resource_listing"
"stop redis",automation,start_service,0.96,"service_management|system_monitoring|system_info"
"get CPU metrics for db-server",monitoring,check_health,0.76,"system_monitoring|service_management"
"list hosts in production",asset_management,asset_count,0.8,"asset_management|asset_query"
"check alerts for production",monitoring,check_alerts,0.85,"system_monitoring|log_analysis|disk_monitoring"
"get asset db-prod-01",asset_management,count_assets,0.93,"asset_management|asset_query"
"change timeout to 30s",configuration,update_config,0.88,"system_info|service_management|disk_management"
"list available containers",information,calculate,0.79,"system_info"
"query assets in on-premises",asset_management,count_assets,0.78,"asset_management|asset_query"
"calculate CPU usage",information,provide_information,0.88,"system_info|infrastructure_info"
"run deploy.py on prod-web-01",automation,start_service,0.95,"service_management|system_monitoring"
"get configuration",information,show_examples,0.88,"system_info"
"get credentials for ssh",asset_management,get_asset,0.93,"asset_management|asset_query|resource_listing"
"configure ssh on server1",configuration,change_settings,0.84,"system_info|service_management|disk_management"
"investigate connection timeout in web app",troubleshooting,analyze_logs,0.9,"log_analysis|text_search"
"analyze logs for out of memory",troubleshooting,diagnose_performance,0.88,"system_monitoring|memory_monitoring|process_monitoring"
"configure docker on prod-web-01",configuration,update_config,0.87,"system_info|service_management|disk_management"
"diagnose performance issues on server1",troubleshooting,investigate_error,0.95,"log_analysis|system_monitoring"
"list hosts in staging",asset_management,search_assets,0.77,"asset_management|asset_query"
"find asset by IP address",asset_management,asset_count,0.8,"asset_management|asset_query"
"execute df -h",automation,restore_data,0.78,"disk_management|system_info"
"set permissions for /var/www",configuration,configure_service,0.8,"service_management|system_info|disk_management"
"get asset web-staging-02",asset_management,list_credentials,0.95,"credential_access|secret_retrieval"
"update mysql configuration",configuration,modify_parameters,0.75,"system_info|service_management|disk_management"
"monitor performance of db-server",monitoring,view_logs,0.89,"log_analysis|system_info|process_monitoring"
"update production settings",configuration,update_config,0.97,"system_info|service_management"
"analyze logs for permission denied",troubleshooting,analyze_logs,0.76,"log_analysis|text_search"
"fix disk space on prod-web-01",troubleshooting,fix_problem,0.78,"service_management|system_info|process_management"
"diagnose performance issues on 192.168.1.100",troubleshooting,debug_application,0.84,"process_monitoring|log_analysis|system_monitoring|network_testing"
"set permissions for /var/www",configuration,configure_service,0.76,"service_management|system_info"
"check connectivity to prod-web-01",troubleshooting,analyze_logs,0.96,"log_analysis|text_search"
"debug database performance",troubleshooting,analyze_logs,0.95,"log_analysis|text_search|network_testing"
"show system info",information,provide_information,0.89,"system_info|infrastructure_info"
"show dashboard for redis",monitoring,check_health,0.95,"system_monitoring|service_management"
"count active servers",asset_management,asset_count,0.86,"asset_management|asset_query"
"show dashboard for docker",monitoring,check_status,0.79,"system_monitoring|service_management"
"debug service performance",troubleshooting,analyze_logs,0.9,"log_analysis|text_search"
"analyze logs for out of memory",troubleshooting,investigate_error,0.86,"log_analysis|system_monitoring|network_testing"
"fix memory leak on 192.168.1.100",troubleshooting,analyze_logs,0.76,"log_analysis|text_search"
"get CPU metrics for db-server",monitoring,view_logs,0.84,"log_analysis|system_info"
"get credentials for mysql",asset_management,list_credentials,0.76,"credential_access|secret_retrieval"
"show documentation for kubernetes",information,list_resources,0.93,"resource_listing|system_info"
"investigate permission denied in web app",troubleshooting,check_connectivity,0.83,"network_testing|network_monitoring"
"check connectivity to db-server",troubleshooting,investigate_error,0.83,"log_analysis|system_monitoring|network_testing"
"emergency shutdown of ssh",automation,run_script,0.92,"system_info|process_management|service_management"
"debug database performance",troubleshooting,diagnose_issue,0.81,"system_monitoring|log_analysis|process_monitoring"
"show examples of curl commands",information,calculate,0.89,"system_info"
"set permissions for /home/user",configuration,update_security,0.79,"system_info|service_management|disk_management"
"execute ps aux",automation,start_service,0.92,"service_management|system_monitoring|disk_management"
"show network config",information,show_examples,0.87,"system_info"
"update security settings for apache",configuration,update_security,0.76,"system_info|service_management|disk_management"
"list available servers",information,answer_question,0.81,"system_info|infrastructure_info"
"list available credentials",asset_management,get_credentials,0.93,"credential_access|secret_retrieval"
"search for web-server",asset_management,query_assets,0.76,"asset_management|asset_query"
"display contents of /proc/cpuinfo",information,calculate,0.8,"system_info"
"emergency shutdown of docker",automation,backup_data,0.83,"disk_management|system_info"
"get information about load balancer",asset_management,find_asset,0.83,"asset_management|asset_query"
"update redis configuration",configuration,configure_service,0.92,"service_management|system_info|disk_management"
"read /etc/passwd",information,get_help,0.98,"system_info"
"get CPU metrics for 192.168.1.100",monitoring,check_alerts,0.8,"system_monitoring|log_analysis"
"find asset by hostname",asset_management,query_assets,0.93,"asset_management|asset_query"
